# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(9.688621e-01 -9.436759e-02 -9.653313e-25)	(1.262480e-02 -9.456995e-02 -4.333807e-24)	(9.562373e-01 2.023574e-04 3.368476e-24)
2             	(2.995391e-01 -1.155228e-02 -3.735416e-24)	(4.232737e-03 -1.198356e-02 -1.579122e-24)	(2.953064e-01 4.312800e-04 -2.156294e-24)
3             	(1.605700e-01 -2.162979e-03 -1.424307e-24)	(1.018726e-03 -2.485012e-03 -4.063892e-25)	(1.595513e-01 3.220332e-04 -1.017918e-24)
4             	(1.131664e-01 -1.199766e-04 -3.599802e-25)	(2.406960e-04 -3.685890e-04 -7.983134e-26)	(1.129257e-01 2.486124e-04 -2.801488e-25)
5             	(8.979014e-02 -7.111836e-04 -6.546376e-26)	(2.323304e-04 -9.164048e-04 -7.492759e-26)	(8.955781e-02 2.052212e-04 9.463827e-27)
6             	(7.557976e-02 -1.072847e-03 -5.312118e-26)	(3.331037e-04 -1.250705e-03 -1.384127e-25)	(7.524665e-02 1.778588e-04 8.529153e-26)
7             	(6.585189e-02 -1.688874e-03 -9.989422e-26)	(3.881870e-04 -1.848708e-03 -1.875325e-25)	(6.546371e-02 1.598335e-04 8.763829e-26)
8             	(5.863229e-02 -1.515386e-03 -1.420665e-25)	(3.916627e-04 -1.662276e-03 -2.083461e-25)	(5.824063e-02 1.468905e-04 6.627956e-26)
9             	(5.304254e-02 -1.036292e-03 -1.645777e-25)	(3.789615e-04 -1.174948e-03 -2.127364e-25)	(5.266358e-02 1.386557e-04 4.815871e-26)
10            	(4.855079e-02 -1.360962e-04 -1.711019e-25)	(3.593252e-04 -2.705656e-04 -2.080861e-25)	(4.819147e-02 1.344694e-04 3.698427e-26)
11            	(4.486253e-02 4.992503e-04 -1.687334e-25)	(3.489492e-04 3.662548e-04 -2.034785e-25)	(4.451358e-02 1.329956e-04 3.474505e-26)
12            	(4.176692e-02 1.010177e-03 -1.672612e-25)	(3.430121e-04 8.767012e-04 -1.995780e-25)	(4.142390e-02 1.334763e-04 3.231682e-26)
13            	(3.912579e-02 1.353216e-03 -1.642631e-25)	(3.404234e-04 1.218508e-03 -1.964229e-25)	(3.878537e-02 1.347082e-04 3.215978e-26)
14            	(3.684051e-02 1.660122e-03 -1.596788e-25)	(3.396769e-04 1.523761e-03 -1.938177e-25)	(3.650083e-02 1.363611e-04 3.413885e-26)
15            	(3.483956e-02 1.940043e-03 -1.552499e-25)	(3.397817e-04 1.801899e-03 -1.915173e-25)	(3.449978e-02 1.381435e-04 3.626735e-26)
16            	(3.306709e-02 2.209962e-03 -1.521127e-25)	(3.379667e-04 2.070217e-03 -1.886519e-25)	(3.272913e-02 1.397447e-04 3.653918e-26)
17            	(3.148646e-02 2.410839e-03 -1.486148e-25)	(3.371835e-04 2.269812e-03 -1.863330e-25)	(3.114928e-02 1.410267e-04 3.771814e-26)
18            	(3.006628e-02 2.497101e-03 -1.457539e-25)	(3.374403e-04 2.355061e-03 -1.847715e-25)	(2.972884e-02 1.420405e-04 3.901755e-26)
19            	(2.877991e-02 2.547863e-03 -1.438394e-25)	(3.372481e-04 2.405101e-03 -1.834518e-25)	(2.844266e-02 1.427619e-04 3.961245e-26)
20            	(2.760961e-02 2.482775e-03 -1.422864e-25)	(3.374148e-04 2.339561e-03 -1.826022e-25)	(2.727219e-02 1.432139e-04 4.031580e-26)
21            	(2.653999e-02 2.355788e-03 -1.412640e-25)	(3.383140e-04 2.212319e-03 -1.822821e-25)	(2.620168e-02 1.434694e-04 4.101813e-26)
22            	(2.555767e-02 2.122821e-03 -1.408104e-25)	(3.396536e-04 1.979211e-03 -1.823299e-25)	(2.521802e-02 1.436106e-04 4.151952e-26)
23            	(2.465223e-02 1.794596e-03 -1.407154e-25)	(3.418909e-04 1.650940e-03 -1.828164e-25)	(2.431034e-02 1.436559e-04 4.210094e-26)
24            	(2.381397e-02 1.475607e-03 -1.410650e-25)	(3.443098e-04 1.331942e-03 -1.834510e-25)	(2.346966e-02 1.436658e-04 4.238603e-26)
25            	(2.303562e-02 1.162243e-03 -1.415462e-25)	(3.471696e-04 1.018601e-03 -1.842742e-25)	(2.268845e-02 1.436421e-04 4.272800e-26)
26            	(2.231057e-02 8.104607e-04 -1.422075e-25)	(3.501158e-04 6.668606e-04 -1.851391e-25)	(2.196045e-02 1.436001e-04 4.293160e-26)
27            	(2.163371e-02 4.690047e-04 -1.428928e-25)	(3.532855e-04 3.254586e-04 -1.860757e-25)	(2.128042e-02 1.435461e-04 4.318289e-26)
28            	(2.100021e-02 1.227109e-04 -1.436489e-25)	(3.563388e-04 -2.078031e-05 -1.869626e-25)	(2.064387e-02 1.434912e-04 4.331372e-26)
29            	(2.040657e-02 -2.294998e-04 -1.443409e-25)	(3.595747e-04 -3.729284e-04 -1.878934e-25)	(2.004700e-02 1.434286e-04 4.355248e-26)
30            	(1.984911e-02 -5.840788e-04 -1.450806e-25)	(3.626331e-04 -7.274500e-04 -1.887514e-25)	(1.948648e-02 1.433713e-04 4.367083e-26)
31            	(1.932510e-02 -9.127394e-04 -1.457464e-25)	(3.656877e-04 -1.056048e-03 -1.895972e-25)	(1.895942e-02 1.433088e-04 4.385079e-26)
32            	(1.883179e-02 -1.242290e-03 -1.464110e-25)	(3.685086e-04 -1.385540e-03 -1.903593e-25)	(1.846329e-02 1.432498e-04 4.394821e-26)
33            	(1.836718e-02 -1.559854e-03 -1.469956e-25)	(3.712798e-04 -1.703039e-03 -1.911023e-25)	(1.799590e-02 1.431851e-04 4.410678e-26)
34            	(1.792912e-02 -1.865531e-03 -1.475764e-25)	(3.737680e-04 -2.008653e-03 -1.917552e-25)	(1.755536e-02 1.431223e-04 4.417887e-26)
35            	(1.751611e-02 -2.155806e-03 -1.480756e-25)	(3.761341e-04 -2.298862e-03 -1.923740e-25)	(1.713998e-02 1.430557e-04 4.429839e-26)
36            	(1.712624e-02 -2.434719e-03 -1.485573e-25)	(3.782070e-04 -2.577710e-03 -1.929059e-25)	(1.674803e-02 1.429909e-04 4.434861e-26)
37            	(1.675825e-02 -2.691211e-03 -1.489643e-25)	(3.800992e-04 -2.834134e-03 -1.933901e-25)	(1.637815e-02 1.429233e-04 4.442581e-26)
38            	(1.641095e-02 -2.940775e-03 -1.493406e-25)	(3.817013e-04 -3.083634e-03 -1.937920e-25)	(1.602924e-02 1.428592e-04 4.445142e-26)
39            	(1.608359e-02 -3.176799e-03 -1.496462e-25)	(3.831249e-04 -3.319593e-03 -1.941485e-25)	(1.570046e-02 1.427934e-04 4.450224e-26)
40            	(1.577539e-02 -3.404560e-03 -1.499230e-25)	(3.842686e-04 -3.547291e-03 -1.944268e-25)	(1.539112e-02 1.427312e-04 4.450379e-26)
41            	(1.548587e-02 -3.600018e-03 -1.501353e-25)	(3.852004e-04 -3.742688e-03 -1.946492e-25)	(1.510067e-02 1.426695e-04 4.451393e-26)
42            	(1.521467e-02 -3.849633e-03 -1.503011e-25)	(3.859850e-04 -3.992242e-03 -1.948343e-25)	(1.482868e-02 1.426091e-04 4.453315e-26)
43            	(1.496148e-02 -4.030692e-03 -1.504439e-25)	(3.865277e-04 -4.173248e-03 -1.949527e-25)	(1.457496e-02 1.425562e-04 4.450878e-26)
44            	(1.472635e-02 -4.263341e-03 -1.505315e-25)	(3.869015e-04 -4.405844e-03 -1.950262e-25)	(1.433945e-02 1.425023e-04 4.449472e-26)
45            	(1.450938e-02 -4.459692e-03 -1.505841e-25)	(3.871197e-04 -4.602146e-03 -1.950585e-25)	(1.412226e-02 1.424544e-04 4.447436e-26)
46            	(1.431074e-02 -4.660145e-03 -1.506053e-25)	(3.871903e-04 -4.802554e-03 -1.950508e-25)	(1.392355e-02 1.424086e-04 4.444548e-26)
47            	(1.413069e-02 -4.869634e-03 -1.505924e-25)	(3.871803e-04 -5.012000e-03 -1.950240e-25)	(1.374351e-02 1.423661e-04 4.443160e-26)
48            	(1.396942e-02 -5.089125e-03 -1.505675e-25)	(3.870581e-04 -5.231453e-03 -1.949670e-25)	(1.358236e-02 1.423282e-04 4.439950e-26)
49            	(1.382725e-02 -5.316088e-03 -1.505165e-25)	(3.868856e-04 -5.458382e-03 -1.948990e-25)	(1.344036e-02 1.422939e-04 4.438250e-26)
50            	(1.370441e-02 -5.548091e-03 -1.504591e-25)	(3.866436e-04 -5.690354e-03 -1.948129e-25)	(1.331777e-02 1.422634e-04 4.435382e-26)
51            	(1.360114e-02 -5.789450e-03 -1.503853e-25)	(3.863885e-04 -5.931686e-03 -1.947262e-25)	(1.321475e-02 1.422359e-04 4.434087e-26)
52            	(1.351754e-02 -6.040702e-03 -1.503130e-25)	(3.861038e-04 -6.182914e-03 -1.946328e-25)	(1.313144e-02 1.422119e-04 4.431974e-26)
53            	(1.345380e-02 -6.304283e-03 -1.502340e-25)	(3.858322e-04 -6.446473e-03 -1.945459e-25)	(1.306796e-02 1.421908e-04 4.431191e-26)
54            	(1.341002e-02 -6.579260e-03 -1.501618e-25)	(3.855586e-04 -6.721433e-03 -1.944601e-25)	(1.302446e-02 1.421730e-04 4.429829e-26)
