# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1             	(-1.684519e-28 3.870507e-26 -5.021632e-02)	(-1.480638e-27 1.737514e-25 -4.950754e-02)	(1.312186e-27 -1.350464e-25 -7.087795e-04)
2             	(-1.321140e-27 1.497460e-25 -5.844886e-03)	(-5.173967e-28 6.332881e-26 -5.640736e-03)	(-8.037430e-28 8.641722e-26 -2.041499e-04)
3             	(-4.901072e-28 5.710575e-26 -2.991995e-03)	(-1.010736e-28 1.629459e-26 -2.884443e-03)	(-3.890336e-28 4.081116e-26 -1.075523e-04)
4             	(-1.028996e-28 1.443050e-26 -2.372577e-03)	(1.176669e-29 3.189507e-27 -2.298006e-03)	(-1.146662e-28 1.124099e-26 -7.457119e-05)
5             	(8.463297e-30 2.616121e-27 -3.025141e-03)	(7.475965e-30 2.991835e-27 -2.966178e-03)	(9.873316e-31 -3.757145e-28 -5.896270e-05)
6             	(1.649009e-29 2.118786e-27 -2.782454e-03)	(-2.152881e-29 5.542268e-27 -2.733369e-03)	(3.801890e-29 -3.423482e-27 -4.908491e-05)
7             	(-9.516877e-31 3.995622e-27 -3.019609e-03)	(-4.376089e-29 7.517097e-27 -2.977032e-03)	(4.280920e-29 -3.521474e-27 -4.257722e-05)
8             	(-1.788813e-29 5.689005e-27 -2.849608e-03)	(-5.356053e-29 8.354783e-27 -2.811858e-03)	(3.567240e-29 -2.665778e-27 -3.774993e-05)
9             	(-2.712800e-29 6.593481e-27 -2.749439e-03)	(-5.579216e-29 8.531833e-27 -2.715567e-03)	(2.866415e-29 -1.938352e-27 -3.387125e-05)
10            	(-3.059507e-29 6.856089e-27 -2.336558e-03)	(-5.411330e-29 8.345332e-27 -2.305876e-03)	(2.351822e-29 -1.489244e-27 -3.068213e-05)
11            	(-3.018461e-29 6.761420e-27 -2.231267e-03)	(-5.233535e-29 8.160255e-27 -2.203277e-03)	(2.215074e-29 -1.398835e-27 -2.799012e-05)
12            	(-2.944027e-29 6.702165e-27 -2.124135e-03)	(-5.097678e-29 8.003684e-27 -2.098484e-03)	(2.153650e-29 -1.301518e-27 -2.565108e-05)
13            	(-2.856604e-29 6.581843e-27 -2.214732e-03)	(-5.003574e-29 7.877141e-27 -2.191104e-03)	(2.146970e-29 -1.295298e-27 -2.362848e-05)
14            	(-2.771254e-29 6.398152e-27 -2.299301e-03)	(-4.939682e-29 7.772760e-27 -2.277458e-03)	(2.168428e-29 -1.374608e-27 -2.184316e-05)
15            	(-2.699742e-29 6.220778e-27 -2.478740e-03)	(-4.890026e-29 7.680648e-27 -2.458467e-03)	(2.190283e-29 -1.459869e-27 -2.027315e-05)
16            	(-2.651195e-29 6.095153e-27 -2.567393e-03)	(-4.819230e-29 7.565880e-27 -2.548514e-03)	(2.168035e-29 -1.470727e-27 -1.887918e-05)
17            	(-2.578896e-29 5.955071e-27 -2.677929e-03)	(-4.762701e-29 7.472988e-27 -2.660297e-03)	(2.183806e-29 -1.517917e-27 -1.763239e-05)
18            	(-2.517234e-29 5.840485e-27 -2.928294e-03)	(-4.726406e-29 7.410439e-27 -2.911755e-03)	(2.209171e-29 -1.569954e-27 -1.653884e-05)
